"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Significance"
"ENSG00000186827",0,NA,NA,NA,NA,NA,NA
"ENSG00000186891",0.013470977296665,-0.212598972540173,3.26667019459871,-0.065081247838149,0.948109310832696,NA,"Not Significant"
"ENSG00000160072",0.159066993340396,0.184485676586757,3.27094990535574,0.0564012540469319,0.95502215796243,NA,"Not Significant"
"ENSG00000260179",0,NA,NA,NA,NA,NA,NA
"ENSG00000234396",0,NA,NA,NA,NA,NA,NA
"ENSG00000225972",0.013470977296665,-0.212598972540173,3.26667019459871,-0.065081247838149,0.948109310832696,NA,"Not Significant"
"ENSG00000224315",0,NA,NA,NA,NA,NA,NA
"ENSG00000198744",0.029849524776082,0.539438303185948,3.26657611562966,0.165138752042203,0.86883477199781,NA,"Not Significant"
"ENSG00000279928",0,NA,NA,NA,NA,NA,NA
"ENSG00000228037",0,NA,NA,NA,NA,NA,NA
"ENSG00000142611",0,NA,NA,NA,NA,NA,NA
"ENSG00000225630",0.187901102388274,-0.0872782605286576,3.24178968327866,-0.0269228633118441,0.978521257839496,NA,"Not Significant"
"ENSG00000131584",0.36588910724578,0.633698520811951,2.48043956381597,0.255478315237422,0.798353689972284,NA,"Not Significant"
"ENSG00000227589",0,NA,NA,NA,NA,NA,NA
"ENSG00000237402",0,NA,NA,NA,NA,NA,NA
"ENSG00000284616",0,NA,NA,NA,NA,NA,NA
"ENSG00000169972",0.02694195459333,-0.465101811810349,3.26303779135483,-0.142536446572149,0.886656293049183,NA,"Not Significant"
"ENSG00000157911",0,NA,NA,NA,NA,NA,NA
"ENSG00000269896",0.013470977296665,-0.212598972540173,3.26667019459871,-0.065081247838149,0.948109310832696,NA,"Not Significant"
"ENSG00000237973",0.186058318289232,-0.449142270170825,3.22643434043035,-0.139207007730682,0.889286571055955,NA,"Not Significant"
"ENSG00000224051",0.0942968410766551,-1.13527490857305,3.23951475147458,-0.350445975915462,0.726004027465664,NA,NA
"ENSG00000228463",0,NA,NA,NA,NA,NA,NA
"ENSG00000260972",0,NA,NA,NA,NA,NA,NA
"ENSG00000157933",0.784456612544315,-1.50197454931349,1.49494868051041,-1.00469973912461,0.315041453821145,NA,NA
"ENSG00000162591",0.291188000356048,-1.24934232859005,3.11390568218733,-0.401213927492005,0.68826262754423,NA,NA
"ENSG00000224340",0,NA,NA,NA,NA,NA,NA
"ENSG00000270035",0,NA,NA,NA,NA,NA,NA
"ENSG00000169962",0,NA,NA,NA,NA,NA,NA
"ENSG00000226545",0,NA,NA,NA,NA,NA,NA
"ENSG00000233653",0,NA,NA,NA,NA,NA,NA
"ENSG00000268663",0,NA,NA,NA,NA,NA,NA
"ENSG00000226374",0,NA,NA,NA,NA,NA,NA
"ENSG00000116285",2.84603231306685,-0.656858129036607,0.668124690816234,-0.983137037240963,0.325539997901112,0.811061640842679,"Not Significant"
"ENSG00000229280",0,NA,NA,NA,NA,NA,NA
"ENSG00000142655",0.239925919594645,-1.78443362905126,3.23358836346048,-0.551843162603919,0.581055812283845,NA,NA
"ENSG00000232596",0,NA,NA,NA,NA,NA,NA
"ENSG00000235054",0,NA,NA,NA,NA,NA,NA
"ENSG00000232663",0,NA,NA,NA,NA,NA,NA
"ENSG00000284646",0,NA,NA,NA,NA,NA,NA
"ENSG00000240409",0,NA,NA,NA,NA,NA,NA
"ENSG00000229344",0.013470977296665,-0.212598972540173,3.26667019459871,-0.065081247838149,0.948109310832696,NA,"Not Significant"
"ENSG00000231510",0,NA,NA,NA,NA,NA,NA
"ENSG00000149527",0,NA,NA,NA,NA,NA,NA
"ENSG00000284739",0.109469316616483,0.617181432559478,3.26380241711049,0.189098895608356,0.850015307047911,NA,"Not Significant"
"ENSG00000171621",0.0673548864833251,-0.931686690403886,3.2471238170294,-0.286926752074466,0.774168406141856,NA,"Not Significant"
"ENSG00000272235",0.0482548719804933,-0.677376539980008,3.25891151994817,-0.207853614875307,0.835343268072007,NA,"Not Significant"
"ENSG00000236679",0,NA,NA,NA,NA,NA,NA
"ENSG00000284694",0,NA,NA,NA,NA,NA,NA
"ENSG00000162441",1.09682418787489,-0.414562133774906,1.13989742515787,-0.363683718048131,0.716094203088385,0.942911015092951,"Not Significant"
"ENSG00000230021",0,NA,NA,NA,NA,NA,NA
"ENSG00000271264",0.029849524776082,0.539438303185948,3.26657611562966,0.165138752042203,0.86883477199781,NA,"Not Significant"
