"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Significance"
"ENSG00000186827",0,NA,NA,NA,NA,NA,NA
"ENSG00000186891",0.013470977296665,0,6.05450579730282,0,1,1,"Not Significant"
"ENSG00000160072",0.159066993340396,1.14907323278999,6.05526980950735,0.189764167235924,0.849493936039399,1,"Not Significant"
"ENSG00000260179",0,NA,NA,NA,NA,NA,NA
"ENSG00000234396",0,NA,NA,NA,NA,NA,NA
"ENSG00000225972",0.013470977296665,0,6.05450579730282,0,1,1,"Not Significant"
"ENSG00000224315",0,NA,NA,NA,NA,NA,NA
"ENSG00000198744",0.029849524776082,0,6.05449290939373,0,1,1,"Not Significant"
"ENSG00000279928",0,NA,NA,NA,NA,NA,NA
"ENSG00000228037",0,NA,NA,NA,NA,NA,NA
"ENSG00000142611",0,NA,NA,NA,NA,NA,NA
"ENSG00000225630",0.187901102388274,-2.08382841055338,5.87674482215183,-0.354588887830996,0.722897602137268,1,"Not Significant"
"ENSG00000131584",0.36588910724578,-1.41949074051131,4.44903484369942,-0.31905588299034,0.749684136904218,1,"Not Significant"
"ENSG00000227589",0,NA,NA,NA,NA,NA,NA
"ENSG00000237402",0,NA,NA,NA,NA,NA,NA
"ENSG00000284616",0,NA,NA,NA,NA,NA,NA
"ENSG00000169972",0.02694195459333,0,6.05401632766536,0,1,1,"Not Significant"
"ENSG00000157911",0,NA,NA,NA,NA,NA,NA
"ENSG00000269896",0.013470977296665,0,6.05450579730282,0,1,1,"Not Significant"
"ENSG00000237973",0.186058318289232,0,6.0491114745839,0,1,1,"Not Significant"
"ENSG00000224051",0.0942968410766551,0,6.05085856229525,0,1,1,"Not Significant"
"ENSG00000228463",0,NA,NA,NA,NA,NA,NA
"ENSG00000260972",0,NA,NA,NA,NA,NA,NA
"ENSG00000157933",0.784456612544315,3.27628115440946,3.0993483778944,1.05708708894328,0.290471843068521,1,"Not Significant"
"ENSG00000162591",0.291188000356048,-2.50276202705374,5.55488802237962,-0.450551301299066,0.652312971935627,1,"Not Significant"
"ENSG00000224340",0,NA,NA,NA,NA,NA,NA
"ENSG00000270035",0,NA,NA,NA,NA,NA,NA
"ENSG00000169962",0,NA,NA,NA,NA,NA,NA
"ENSG00000226545",0,NA,NA,NA,NA,NA,NA
"ENSG00000233653",0,NA,NA,NA,NA,NA,NA
"ENSG00000268663",0,NA,NA,NA,NA,NA,NA
